Date,Route,Riders,Month,Year,Fiscal Year
10/1/2021,Town Shuttle,15599,10,2021,2022
11/1/2021,Town Shuttle,12866,11,2021,2022
12/1/2021,Town Shuttle,18836,12,2021,2022
1/1/2022,Town Shuttle,19554,1,2022,2022
2/1/2022,Town Shuttle,19479,2,2022,2022
3/1/2022,Town Shuttle,21887,3,2022,2022
4/1/2022,Town Shuttle,18327,4,2022,2022
5/1/2022,Town Shuttle,22372,5,2022,2022
6/1/2022,Town Shuttle,27176,6,2022,2022
7/1/2022,Town Shuttle,29195,7,2022,2023
8/1/2022,Town Shuttle,27634,8,2022,2023
9/1/2022,Town Shuttle,25600,9,2022,2023
10/1/2022,Town Shuttle,21545,10,2022,2023
11/1/2022,Town Shuttle,18172,11,2022,2023
12/1/2022,Town Shuttle,27581,12,2022,2023
1/1/2023,Town Shuttle,32229,1,2023,2023
2/1/2023,Town Shuttle,27699,2,2023,2023
3/1/2023,Town Shuttle,29905,3,2023,2023
4/1/2023,Town Shuttle,26079,4,2023,2023
5/1/2023,Town Shuttle,24642,5,2023,2023
6/1/2023,Town Shuttle,33304,6,2023,2023
7/1/2023,Town Shuttle,35532,7,2023,2024
8/1/2023,Town Shuttle,34250,8,2023,2024
9/1/2023,Town Shuttle,30240,9,2023,2024
10/1/2023,Town Shuttle,27190,10,2023,2024
11/1/2023,Town Shuttle,21267,11,2023,2024
12/1/2023,Town Shuttle,34329,12,2023,2024
1/1/2024,Town Shuttle,36075,1,2024,2024
2/1/2024,Town Shuttle,35416,2,2024,2024
3/1/2024,Town Shuttle,36358,3,2024,2024
4/1/2024,Town Shuttle,28387,4,2024,2024
5/1/2024,Town Shuttle,31956,5,2024,2024
6/1/2024,Town Shuttle,38183,6,2024,2024
1/1/2018,Town Shuttle,44040,1,2018,2018
2/1/2018,Town Shuttle,38376,2,2018,2018
3/1/2018,Town Shuttle,38047,3,2018,2018
4/1/2018,Town Shuttle,27458,4,2018,2018
5/1/2018,Town Shuttle,34639,5,2018,2018
6/1/2018,Town Shuttle,48549,6,2018,2018
7/1/2018,Town Shuttle,57755,7,2018,2019
8/1/2018,Town Shuttle,54731,8,2018,2019
9/1/2018,Town Shuttle,45062,9,2018,2019
10/1/2018,Town Shuttle,34965,10,2018,2019
11/1/2018,Town Shuttle,28285,11,2018,2019
12/1/2018,Town Shuttle,37453,12,2018,2019
1/1/2018,Teton Village,105454,1,2018,2018
2/1/2018,Teton Village,96617,2,2018,2018
3/1/2018,Teton Village,95498,3,2018,2018
4/1/2018,Teton Village,17489,4,2018,2018
5/1/2018,Teton Village,5769,5,2018,2018
6/1/2018,Teton Village,17599,6,2018,2018
7/1/2018,Teton Village,23520,7,2018,2019
8/1/2018,Teton Village,22074,8,2018,2019
9/1/2018,Teton Village,16760,9,2018,2019
10/1/2018,Teton Village,5246,10,2018,2019
11/1/2018,Teton Village,13054,11,2018,2019
12/1/2018,Teton Village,92007,12,2018,2019
1/1/2018,Star Valley,3331,1,2018,2018
2/1/2018,Star Valley,2865,2,2018,2018
3/1/2018,Star Valley,2804,3,2018,2018
4/1/2018,Star Valley,2275,4,2018,2018
5/1/2018,Star Valley,2671,5,2018,2018
6/1/2018,Star Valley,2815,6,2018,2018
7/1/2018,Star Valley,2766,7,2018,2019
8/1/2018,Star Valley,2715,8,2018,2019
9/1/2018,Star Valley,2286,9,2018,2019
10/1/2018,Star Valley,2828,10,2018,2019
11/1/2018,Star Valley,2710,11,2018,2019
12/1/2018,Star Valley,2608,12,2018,2019
1/1/2018,Teton Valley,3535,1,2018,2018
2/1/2018,Teton Valley,3052,2,2018,2018
3/1/2018,Teton Valley,3058,3,2018,2018
4/1/2018,Teton Valley,2412,4,2018,2018
5/1/2018,Teton Valley,2962,5,2018,2018
6/1/2018,Teton Valley,2547,6,2018,2018
7/1/2018,Teton Valley,2364,7,2018,2019
8/1/2018,Teton Valley,2497,8,2018,2019
9/1/2018,Teton Valley,2445,9,2018,2019
10/1/2018,Teton Valley,2859,10,2018,2019
11/1/2018,Teton Valley,2568,11,2018,2019
12/1/2018,Teton Valley,3082,12,2018,2019
1/1/2018,ADA,481,1,2018,2018
2/1/2018,ADA,498,2,2018,2018
3/1/2018,ADA,554,3,2018,2018
4/1/2018,ADA,446,4,2018,2018
5/1/2018,ADA,422,5,2018,2018
6/1/2018,ADA,436,6,2018,2018
7/1/2018,ADA,438,7,2018,2019
8/1/2018,ADA,386,8,2018,2019
9/1/2018,ADA,392,9,2018,2019
10/1/2018,ADA,358,10,2018,2019
11/1/2018,ADA,389,11,2018,2019
12/1/2018,ADA,434,12,2018,2019
07/01/2024,Town Shuttle,41461,July,2024,2025
08/01/2024,Town Shuttle,38974,August,2024,2025
09/01/2024,Town Shuttle,36072,September,2024,2025
07/01/2024,Teton Village,20064,July,2024,2025
08/01/2024,Teton Village,19849,August,2024,2025
09/01/2024,Teton Village,15930,September,2024,2025
07/01/2024,Star Valley,2216,July,2024,2025
08/01/2024,Star Valley,2192,August,2024,2025
09/01/2024,Star Valley,2125,September,2024,2025
07/01/2024,Teton Valley,2166,July,2024,2025
08/01/2024,Teton Valley,2164,August,2024,2025
09/01/2024,Teton Valley,2165,September,2024,2025
07/01/2024,Airport Shuttle Pilot,0,July,2024,2025
08/01/2024,Airport Shuttle Pilot,0,August,2024,2025
09/01/2024,Airport Shuttle Pilot,0,September,2024,2025
07/01/2024,ADA,395,July,2024,2025
08/01/2024,ADA,453,August,2024,2025
09/01/2024,ADA,376,September,2024,2025
07/01/2024,START On-Demand,14735,July,2024,2025
08/01/2024,START On-Demand,14418,August,2024,2025
09/01/2024,START On-Demand,11847,September,2024,2025
07/01/2024,GTR Shuttle,2258,July,2024,2025
08/01/2024,GTR Shuttle,3240,August,2024,2025
09/01/2024,GTR Shuttle,840,September,2024,2025
