pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,11,2,43.4800574919152,-110.75979877136818,2024-06-01,11,7,43.47197269134028,-110.76968715622411,1690,271,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,3,43.4800574919152,-110.76597901190314,2024-06-01,11,8,43.48185411426518,-110.75238248272622,1352,290,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,9,43.47826086956522,-110.76968715622411,2024-06-01,11,15,43.47646424721523,-110.74991038651224,2150,356,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,17,43.48275242544017,-110.76474296379615,2024-06-01,11,24,43.47197269134028,-110.76350691568915,1579,424,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,19,43.479159180740204,-110.76597901190314,2024-06-01,11,21,43.48095580309019,-110.76227086758216,505,139,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,11,27,43.4800574919152,-110.76103481947517,2024-06-01,11,31,43.474667624865255,-110.7560906270472,1513,235,2,No,Rider App,On-Demand,On-Demand
2024-06-01,11,32,43.47646424721523,-110.74620224219126,2024-06-01,11,37,43.4800574919152,-110.76103481947517,1720,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,37,43.47646424721523,-110.74249409787028,2024-06-01,11,41,43.48275242544017,-110.75856272326118,1964,243,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,39,43.4800574919152,-110.75979877136818,2024-06-01,11,41,43.4800574919152,-110.74991038651224,993,122,1,No,Dashboard,On-Demand,On-Demand
2024-06-01,11,44,43.48185411426518,-110.76474296379615,2024-06-01,11,48,43.47197269134028,-110.76845110811712,1788,265,3,No,Rider App,On-Demand,On-Demand
2024-06-01,11,51,43.4800574919152,-110.76597901190314,2024-06-01,11,57,43.471074380165284,-110.77957554108005,1751,356,1,No,Rider App,On-Demand,On-Demand
2024-06-01,11,59,43.47197269134028,-110.76845110811712,2024-06-01,12,3,43.4800574919152,-110.76103481947517,1540,238,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,1,43.48904060366511,-110.76227086758216,2024-06-01,12,5,43.4800574919152,-110.76103481947517,1179,201,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,8,43.48454904779015,-110.76350691568915,2024-06-01,12,10,43.4800574919152,-110.76597901190314,767,106,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,12,43.48454904779015,-110.76350691568915,2024-06-01,12,18,43.47826086956522,-110.76350691568915,845,338,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,16,43.48454904779015,-110.76350691568915,2024-06-01,12,21,43.477362558390226,-110.76968715622411,1404,301,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,16,43.4800574919152,-110.76103481947517,2024-06-01,12,21,43.47646424721523,-110.74991038651224,1418,309,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,22,43.47197269134028,-110.76845110811712,2024-06-01,12,26,43.479159180740204,-110.76103481947517,1444,268,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,27,43.4800574919152,-110.74991038651224,2024-06-01,12,32,43.4800574919152,-110.76597901190314,1407,344,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,32,43.47287100251527,-110.74743829029825,2024-06-01,12,36,43.47826086956522,-110.76350691568915,1788,263,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,40,43.47197269134028,-110.77092320433111,2024-06-01,12,42,43.47826086956522,-110.76721506001013,1017,134,2,No,Rider App,On-Demand,On-Demand
2024-06-01,12,44,43.48454904779015,-110.76350691568915,2024-06-01,12,45,43.4800574919152,-110.76597901190314,767,116,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,49,43.48275242544017,-110.75856272326118,2024-06-01,12,56,43.474667624865255,-110.76597901190314,1359,423,1,No,Rider App,On-Demand,On-Demand
2024-06-01,12,59,43.47826086956522,-110.77092320433111,2024-06-01,13,2,43.47826086956522,-110.76474296379615,524,156,1,No,Rider App,On-Demand,On-Demand
